Name,NPC,Discipline
IVANYTSKA Yuliia,Ukraine,Judo
IWABUCHI Koyo,Japan,Table Tennis
IWAI Takayoshi,Japan,Wheelchair Basketball
IWATA Yuki,Japan,Athletics
IYIAZI Eucharia,Nigeria,Athletics
IZOTAU Uladzimir,Belarus,Swimming
JABLONSKA Oliwia,Poland,Swimming
JABRAYILOV Elmir,Azerbaijan,Athletics
JACHIMOWICZ Robert,Poland,Athletics
JACKSON Juan Faith,Sierra Leone,Athletics
JACKSON Joe,United States of America,Wheelchair Rugby
JACOBS David,Indonesia,Table Tennis
JACQUES Yeltsin,Brazil,Athletics
JADHAV Bhagyashri Madhavrao,India,Athletics
JADHAV Suyash Narayan,India,Swimming
JAFARI ARANGEH Amir,Islamic Republic of Iran,Powerlifting
JAHEDI Eslam,Islamic Republic of Iran,Canoe Sprint
JAHODA Patrik,Czech Republic,Cycling Road
JAI DEEP,India,Powerlifting
JAIME Manuel Ernestro,Angola,Athletics
JAION Wijittra,Thailand,Table Tennis
JAKIMCZUK Tomasz,Poland,Table Tennis
JAKOBS Thomas,France,Badminton
JAKSCHOVA Tereza,Czech Republic,Athletics
JAMA Abdi,Great Britain,Wheelchair Basketball
JAMALI Muhammad Hafiz,Malaysia,Cycling Road
JAMES Sheryl,South Africa,Athletics
JANA Saysunee,Thailand,Wheelchair Fencing
JANNERING Louise,Sweden,Cycling Road
JANNERING Louise,Sweden,Cycling Track
JANSEN Jennette,Netherlands,Cycling Road
JARAMILLO GALLARDO Pablo,Spain,Cycling Road
JARAMILLO GALLARDO Pablo,Spain,Cycling Track
JARLAN Rodolphe,France,Wheelchair Rugby
JAROSZEWSKI Piotr,Poland,Wheelchair Tennis
JARVIS Sharon,Australia,Equestrian
JASON Braedan,Australia,Swimming
JASSMAN Chad,Canada,Wheelchair Basketball
JAUREGUI CANCINO Pilar,Peru,Badminton
JAVANMARDI Seyed Aliasghar,Islamic Republic of Iran,Athletics
JAVANMARDI Sareh,Islamic Republic of Iran,Shooting
JAWAD Ali,Great Britain,Powerlifting
JAYAKODI Priyamal,Sri Lanka,Rowing
JEAN-PAUL Isaac,United States of America,Athletics
JEBABLI Rouay,Tunisia,Athletics
JEBALI Raja,Tunisia,Athletics
JEFFERSON de LIMA Francisco,Brazil,Athletics
JEFFERY Tim,Great Britain,Shooting
JEFFRE Bernd,Germany,Cycling Road
JENIFER Trevon,United States of America,Wheelchair Basketball
JENKINS Harri,Great Britain,Athletics
JENKINS Mikaela,United States of America,Swimming
JENNINGS Amanda,Australia,Canoe Sprint
JENSEN Shelby,United States of America,Wheelchair Fencing
JEON Min Jae,Republic of Korea,Athletics
JEONG Howon,Republic of Korea,Boccia
JEONG Soyeong,Republic of Korea,Boccia
JEROMIN Alicja,Poland,Athletics
JERONIMO de ARAUJO Cecilia Kethlen,Brazil,Swimming
JESEL Antoine,France,Rowing
JESUS da SILVA Adria,Brazil,Sitting Volleyball
JESUS Poliana,Brazil,Athletics
JI Zhenxu,People's Republic of China,Wheelchair Tennis
JIA Hongguang,People's Republic of China,Swimming
JIA Youming,People's Republic of China,Sitting Volleyball
JIANG Fenfen,People's Republic of China,Athletics
JIANG Jijian,People's Republic of China,Rowing
JIANG Yuyan,People's Republic of China,Swimming
JIMENEZ CABEZA Angel,Cuba,Athletics
JIMENEZ SANCHEZ Darian Faisury,Colombia,Athletics
JINTCHARADZE Akaki,Georgia,Powerlifting
JO Giseong,Republic of Korea,Swimming
JO Jang Moon,Republic of Korea,Archery
JOERGENSEN Leon,Denmark,Wheelchair Rugby
JOESAAR Egert,Estonia,Athletics
JOHNSON Michael,New Zealand,Shooting
JOHNSON Patience,Liberia,Athletics
JOHNSON-DWYER Philippa,South Africa,Equestrian
JOKIC Dejan,Serbia,Shooting
JOKIC Rastko,Serbia,Shooting
JONES Stuart,Australia,Cycling Road
JONG Fleur,Netherlands,Athletics
JONG Yee Khie,Malaysia,Powerlifting
JONIKAITIS Arturas,Lithuania,Goalball
JONSSON Philip,Sweden,Shooting
JONSSON Robert Isak,Iceland,Swimming
JONSSON Tobias,Sweden,Athletics
JOO Jeong Hun,Republic of Korea,Taekwondo
JOO Young Dae,Republic of Korea,Table Tennis
JORDAAN Alissa,Australia,Athletics
JORGENSEN Tobias Thorning,Denmark,Equestrian
JOSS III John,United States of America,Shooting
JOUANNY Florian,France,Cycling Road
JOVANOVIC Danijela,Serbia,Taekwondo
JOZIC Pavao,Croatia,Table Tennis
JOZWICKI Dimitri,France,Athletics
JU Sungchul,Republic of Korea,Shooting
JUDGE Colin,Ireland,Table Tennis
JUHASZ Tamas,Hungary,Canoe Sprint
JULIAN Rebecca Anne,Australia,Table Tennis
JULIN Wiro,Malaysia,Archery
JUMABAYEVA Aisulu,Kazakhstan,Shooting
JUNG Cody,United States of America,Cycling Road
JUNG Sungjoon,Republic of Korea,Boccia
JUNG Young A,Republic of Korea,Table Tennis
JUNIOR Washington,Brazil,Athletics
JUNTHONG Dumnern,Thailand,Badminton
JUSUFOVIC Ermin,Bosnia and Herzegovina,Sitting Volleyball
JYOTI Jyoti,India,Archery
KABISSA Koumealo,Togo,Athletics
KAEWKHAM Voravit,Thailand,Swimming
KAEWSRI Charkorn,Thailand,Swimming
KAHIL Zeyad,Egypt,Swimming
KAISER Emmy,United States of America,Wheelchair Tennis
KAISING Orawan,Thailand,Athletics
KAJI Yoshimi,Japan,Canoe Sprint
KAJIWARA Daiki,Japan,Badminton
KAKEHATA Eiko,Japan,Goalball
KALASHIAN Artem,RPC,Athletics
KALDANI Giorgi,Georgia,Judo
KALDANI Ina,Georgia,Judo
KALEM Mohamed,Italy,Table Tennis
KALINA Andrei,RPC,Swimming
KALUZA Renata,Poland,Cycling Road
KAMALI Mojtaba,Islamic Republic of Iran,Wheelchair Basketball
KAMALOV Albert,RPC,Wheelchair Fencing
KAMARAS Konstantinos,Greece,Athletics
KAMEYAMA Kaede,Japan,Badminton
KAMIJI Yui,Japan,Wheelchair Tennis
KAMIYAMA Masashi,Japan,Football 5-a-side
KAMKASOMPHOU Thu,France,Table Tennis
KAMLISH Sophie,Great Britain,Athletics
KANEKO Kazuya,Japan,Goalball
KANG Jungeun,Republic of Korea,Swimming
KANG Jung Kum,Republic of Korea,Badminton
KANIUK Anna,Belarus,Athletics
KANO Shintaro,Japan,Wheelchair Fencing
KANOVA Alena,Slovakia,Table Tennis
KAPLAN Seydanur,Turkey,Goalball
KAPPEL Niko,Germany,Athletics
KAPS Justin,Germany,Swimming
KARA Ebubekir Siddik,Turkey,Goalball
KARABARDAK Paul,Great Britain,Table Tennis
KARAKAYA Tuncay,Turkey,Goalball
KARAOUZAS Konstantinos,Greece,Swimming
KARASAWA Kenya,Japan,Athletics
KARASEVA Marina,RPC,Sitting Volleyball
KARDJENA Kamel,Algeria,Athletics
KARFAS Nacer-Eddine,Algeria,Athletics
KARGBO Sorie,Sierra Leone,Athletics
KARIM Youssra,Morocco,Athletics
KARIMI Abbas,Refugee Paralympic Team,Swimming
KARIMOVA Dursadaf,Azerbaijan,Judo
KARIUKI Hellen Wawira,Kenya,Powerlifting
KARJALAINEN Katja,Finland,Equestrian
KARLSSON Linus,Sweden,Table Tennis
KARLSSON Viktoria,Sweden,Athletics
KAROMATOV Davurkhon,Uzbekistan,Judo
KARYPIDIS Dimitrios,Greece,Swimming
KASANUN Narong,Thailand,Powerlifting
KASHAFALI Salum Ageze,Norway,Athletics
KASIKONUDOMPAISAN Ponchai,Thailand,Football 5-a-side
KATANUSIC Ivan,Croatia,Athletics
KATHUNIYA Yogesh,India,Athletics
KATO Koya,Japan,Table Tennis
KATO Masahiko,Japan,Sitting Volleyball
KATS Lev,Ukraine,Table Tennis
KATSMAN Polina,Israel,Powerlifting
KAUL Susannah,Estonia,Swimming
KAVAS Neslihan,Turkey,Table Tennis
KAVTARADZE Davit,Georgia,Athletics
KAWAHARA Rin,Japan,Wheelchair Basketball
KAWAMOTO Keisuke,Japan,Boccia
KAWAMOTO Shota,Japan,Cycling Road
KAWAMOTO Shota,Japan,Cycling Track
KAWAMURA Ryo,Japan,Football 5-a-side
KAWASHIMA Yuta,Japan,Goalball
KAYAPINAR Abdullah,Turkey,Powerlifting
KAYUMOVA Nozimakhon,Uzbekistan,Athletics
KAZACHINER Nikita,RPC,Swimming
KEANE Ellen,Ireland,Swimming
KEARNEY Tully,Great Britain,Swimming
KEITA Nantenin,France,Athletics
KEITH Aaron,United States of America,Cycling Road
KEITH Aaron,United States of America,Cycling Track
KELLER Silvio,Switzerland,Table Tennis
KELLY Ahmed,Australia,Swimming
KELLY Katie,Australia,Triathlon
KENNEDY Erin,Great Britain,Rowing
KENTON-SMITH Taymon,Australia,Archery
KENZIE Deon,Australia,Athletics
KERKHOFF Erin,United States of America,Athletics
KERR-HORAN Kate,Ireland,Equestrian
KESNAR Jonas,Czech Republic,Swimming
KETKEAW Anchaya,Thailand,Swimming
KHAFAJI Hussein,Iraq,Athletics
KHALAF Mohammed Khamis,United Arab Emirates,Powerlifting
KHALILI Nader,Finland,Swimming
KHALILOV Imamaddin,Azerbaijan,Taekwondo
KHALILOV Sharif,Uzbekistan,Judo
KHALIMATUS Sadiyah,Indonesia,Badminton
KHAMAYEV Rakhmetzhan,Kazakhstan,Powerlifting
KHAMDAMOVA Mokhigul,Uzbekistan,Athletics
KHANTHASIT Sakhorn,Thailand,Wheelchair Tennis
KHATTAB Abdelkareem Mohmmad Ahmad,Jordan,Powerlifting
KHATUN Sakina,India,Powerlifting
KHEDIR Naoual,Algeria,Wheelchair Basketball
KHEIROLLAHZADEH Mohammadreza,Islamic Republic of Iran,Judo
KHELAIFIA Salah,Algeria,Athletics
KHEMGANI Djamila,Algeria,Wheelchair Basketball
KHETSURIANI Irma,Georgia,Wheelchair Fencing
KHINCHAGOV Albert,RPC,Athletics
KHINCHAGOV Khetag,RPC,Athletics
KHLONGRUA Suthi,Thailand,Wheelchair Tennis
KHOLBEKOVA Yokutkhon,Uzbekistan,Athletics
KHONGRAK Putharet,Thailand,Athletics
KHORAVA Davyd,Ukraine,Judo
KHOSRAVANI Amir,Islamic Republic of Iran,Athletics
KHOTLELE Litsitso,Lesotho,Athletics
KHRAPKOVA Iuliia,RPC,Goalball
KHRUPIN Aleksandr,RPC,Athletics
KHUDADADI Zakia,Afghanistan,Taekwondo
KHURELBAATAR Enkhtuya,Mongolia,Taekwondo
KHUSAN KYZY Khaiitkhon,Kyrgyzstan,Judo
KIBIL Jagoda,Poland,Athletics
KIEREY Tom,Germany,Canoe Sprint
KIKUCHI Satoko,Japan,Sitting Volleyball
KILIAN Ivo,Germany,Canoe Sprint
KIM Chang Gi,Republic of Korea,Table Tennis
KIM Gi Tae,Republic of Korea,Table Tennis
KIM Hyeong Hui,Republic of Korea,Powerlifting
KIM Hansoo,Republic of Korea,Boccia
KIM Hyeon Uk,Republic of Korea,Table Tennis
KIM Ho Yong,Republic of Korea,Wheelchair Basketball
KIM Jung Jun,Republic of Korea,Badminton
KIM Jung-Gil,Republic of Korea,Table Tennis
KIM Kun-Hea,Republic of Korea,Table Tennis
KIM Kyung Hoon,Republic of Korea,Badminton
KIM Kyu-Seung,Republic of Korea,Wheelchair Tennis
KIM Myung Je,Republic of Korea,Wheelchair Tennis
KIM Min Su,Republic of Korea,Archery
KIM Ok Geum,Republic of Korea,Archery
KIM Ran Sook,Republic of Korea,Archery
KIM Sangyeol,Republic of Korea,Wheelchair Basketball
KIM Sejeong,Republic of Korea,Rowing
KIM Seongok,Republic of Korea,Table Tennis
KIM Su Wan,Republic of Korea,Shooting
KIM Taeok,Republic of Korea,Wheelchair Basketball
KIM Young-Gun,Republic of Korea,Table Tennis
KIM Younmi,Republic of Korea,Shooting
KIMURA Jumpei,Japan,Triathlon
KIMURA Juri,Japan,Boccia
KIMURA Keiichi,Japan,Swimming
KIMURA Yui,Japan,Rowing
KINA Tsubasa,Japan,Athletics
KINGHORN Samantha,Great Britain,Athletics
KINOSHITA Moemi,Japan,Swimming
KIPROP Rodgers,Kenya,Athletics
KIPRUTO Felix,Kenya,Athletics
KIRYLA Justyna,Poland,Cycling Road
KIRYLA Justyna,Poland,Cycling Track
KISS Erik,Hungary,Canoe Sprint
KISS Peter,Hungary,Canoe Sprint
KISSER Danielle,Canada,Swimming
KISY Ales,Czech Republic,Athletics
KITADA Chihiro,Japan,Wheelchair Basketball
KITAMA Yui,Japan,Wheelchair Basketball
KITAZONO Aramitsu,Japan,Judo
KLA-HAN Ladamanee,Thailand,Boccia
KLAASSEN Larissa,Netherlands,Cycling Track
KLEIN Achiya,Israel,Rowing
KLEMP Marcus,Germany,Rowing
KLIACHKINA Elena,RPC,Swimming
KLIPPERT Sergii,Ukraine,Swimming
KLOKPAH Kwadzo,Italy,Canoe Sprint
KNAF Welder,Brazil,Table Tennis
KNIPPELMEYER Lena,Germany,Wheelchair Basketball
KNOBLAUCH Valeska,Germany,Badminton
KNOTT Keegan,United States of America,Swimming
KNOWLES Tristan,Australia,Wheelchair Basketball
KOBESOV Chermen,RPC,Athletics
KOBLASA Ivo,Czech Republic,Cycling Road
KOBLASA Ivo,Czech Republic,Cycling Track
KOBZAR Nataliia,Ukraine,Athletics
KODITHUWAKKU Dulan,Sri Lanka,Athletics
KOECH Nancy Chelangat,Kenya,Athletics
KOHLI Palak,India,Badminton
KOIKE Sakura,Japan,Swimming
KOISHIBAYEVA Raushan,Kazakhstan,Powerlifting
KOIUDA Iaroslav,Ukraine,Rowing
KOKOITY Alan,RPC,Athletics
KOKUBO Kanta,Japan,Athletics
KOL Anton,Ukraine,Swimming
KOLEOSHO Ahmed,Nigeria,Table Tennis
KOLMAKOV Mikhail,RPC,Triathlon
KOLOSOV Vladislav,RPC,Equestrian
KOLPAKCHY Alisa,Ukraine,Triathlon
KOMAR Davor,Croatia,Boccia
KOMAROV Oleksandr,Ukraine,Swimming
KOMATSU Saki,Japan,Canoe Sprint
KONEFERENISI Barney,New Zealand,Wheelchair Rugby
KONG Bopha,France,Taekwondo
KONJEN Saichon,Thailand,Athletics
KONKOLY Zsofia,Hungary,Swimming
KONSTANTINIDIS Athanasios,Greece,Athletics
KOO Dong Sub,Republic of Korea,Archery
KOPIIKA Maryna,Ukraine,Powerlifting
KORANY Fatma,Egypt,Powerlifting
KORKMAZ Bulent,Turkey,Archery
KORKMAZ Mihriban,Turkey,Athletics
KORKUT Kubra,Turkey,Table Tennis
KORNELIUSSEN Nora,Norway,Table Tennis
KORNHASS Nikolai,Germany,Judo
KORNOBYS Lucyna,Poland,Athletics
KOROBEYNIKOV Igor,RPC,Canoe Sprint
KORVER Cher,Netherlands,Wheelchair Basketball
KOSE Tomohiro,Japan,Powerlifting
KOSEK Jakub,Czech Republic,Shooting
KOSEWICZ Piotr,Poland,Athletics
KOSMINA Natalya,Ukraine,Table Tennis
KOSSAKOWSKI Aleksander,Poland,Athletics
KOSTAKIS Ioannis,Greece,Swimming
KOSTAL Vaclav,Czech Republic,Archery
KOSTIN Aleksandr,RPC,Athletics
KOSUDA Junta,Japan,Athletics
KOTAJA Amanda,Finland,Athletics
KOTKOWSKI Michal,Poland,Athletics
KOTLOWSKA Faustyna,Poland,Athletics
KOTUKOV Nikita,RPC,Athletics
KOTYK Dariia,Ukraine,Rowing
KOUAKOU Charles-Antoine,France,Athletics
KOULOUMOGLOU Paschalis,Greece,Powerlifting
KOVAL Maksym,Ukraine,Athletics
KOVALCHUK Vasyl,Ukraine,Shooting
KOZAI Hiroaki,Japan,Wheelchair Basketball
KOZAKOWSKA Roza,Poland,Athletics
KOZDRYK Justyna,Poland,Powerlifting
KOZHEMYAKIN Andrey,RPC,Shooting
KOZIKOWSKA Katarzyna,Poland,Canoe Sprint
KOZMIN Dmitry,RPC,Boccia
KOZUN Julie,Canada,Sitting Volleyball
KRAI Abdelkrim,Algeria,Athletics
KRAINYK Vasyl,Ukraine,Swimming
KRAJNYAK Zsuzsanna,Hungary,Wheelchair Fencing
KRAL Tomas,Slovakia,Boccia
KRAMER Bo,Netherlands,Wheelchair Basketball
KRATTER Elena,Switzerland,Athletics
KRAVCHENKO Vladyslava,Malta,Swimming
KRAWZOW Elena,Germany,Swimming
KRISTENSEN Katrine,Denmark,Equestrian
KRIVSHINA Anna,RPC,Swimming
KRUGER Jesper Ring,Denmark,Wheelchair Rugby
KRUGER Katharina,Germany,Wheelchair Tennis
KRUGER Lisa,Netherlands,Swimming
KRUGER Simone,South Africa,Athletics
KRUNGGET Pichet,Thailand,Athletics
KRUPIN Anatolii,RPC,Sitting Volleyball
KRUSE Kai-Kristian,Germany,Cycling Track
KRUTOVA Elena,RPC,Archery
KRYLOV Leonid,RPC,Canoe Sprint
KRYPAK Maksym,Ukraine,Swimming
KTILA Walid,Tunisia,Athletics
KUBAS Kamila,Poland,Canoe Sprint
KUBASOV Artur,RPC,Swimming
KUBO Kozo,Japan,Athletics
KUBOTA Kota,Japan,Swimming
KUCHARCZYK Karolina,Poland,Athletics
KUCHKOROV Otabek,Uzbekistan,Rowing
KUDLACOVA Kristina,Slovakia,Boccia
KUDO Hiroko,Japan,Judo
KUDO Shunsuke,Japan,Taekwondo
KUKLIN Pavel,RPC,Swimming
KUKUNDAKWE Husnah,Uganda,Swimming
KULIABIN Mikhail,RPC,Swimming
KULIATIN Anton,RPC,Athletics
KULINICH-SOROKINA Anna,RPC,Athletics
KUMAGAI Yutaka,Japan,Athletics
KUMAR Amit,India,Athletics
KUMAR Rakesh,India,Archery
KUMAR Sharad,India,Athletics
KUNIEDA Shingo,Japan,Wheelchair Tennis
KUNSTMAN Elizaveta,RPC,Sitting Volleyball
KUPAN Panyawut,Thailand,Football 5-a-side
KURAHASHI Kae,Japan,Wheelchair Rugby
KURANBAEV Uchkun,Uzbekistan,Judo
KURBANOVA Nurkhon,Uzbekistan,Athletics
KUREJA Marian,Slovakia,Athletics
KURIL Patrik,Slovakia,Cycling Road
KURILAK Rastislav,Slovakia,Boccia
KURODA Tomonari,Japan,Football 5-a-side
KURZIN Alexander,RPC,Wheelchair Fencing
KUSKU John,United States of America,Goalball
KUTLU Koral Berkin,Turkey,Swimming
KUTUEV Vasilii,RPC,Judo
KUZIEVA Ruza,Uzbekistan,Powerlifting
KUZNETSOV Aleksei,RPC,Athletics
KUZNETSOV Ruslan,RPC,Cycling Road
KUZYUKOV Alexander,RPC,Wheelchair Fencing
KWAK Jun Seong,Republic of Korea,Wheelchair Basketball
KWIZERA Carine,Rwanda,Sitting Volleyball
LABERER Felicia,Germany,Canoe Sprint
LACIN Ali,Germany,Athletics
LACZKO Dusan,Slovakia,Athletics
LADJADJAT Samir,Algeria,Wheelchair Basketball
LAFAYE Isabelle,France,Table Tennis
LAGO Sebehe Clarisse,Côte d'Ivoire,Athletics
LAHNA Mohamed,Morocco,Cycling Road
LAHOUEL Achraf,Tunisia,Athletics
LAHTEENMAKI Leo,Finland,Swimming
LAHUTENKO Nataliia,Ukraine,Canoe Sprint
LAI Liangyu,People's Republic of China,Goalball
LAI Puisand,Canada,Wheelchair Basketball
LAI Shanzhang,People's Republic of China,Cycling Track
LAKATOS Brent,Canada,Athletics
LAKRA Kashish,India,Athletics
LALONDE Rosalie,Canada,Wheelchair Basketball
LAM-WATSON Oliver,Great Britain,Wheelchair Fencing
LAMBERT Lorraine,Great Britain,Shooting
LAMBERT Noelle,United States of America,Athletics
LAMBERTINI Emanuele,Italy,Wheelchair Fencing
LAMBIRD Robyn,Australia,Athletics
LAMIRAULT Fabien,France,Table Tennis
LAN Zhijian,People's Republic of China,Boccia
LANDRY Hagan,United States of America,Athletics
LANE Joseph,Great Britain,Taekwondo
LANE-WRIGHT Crystal,Great Britain,Cycling Road
LANE-WRIGHT Crystal,Great Britain,Cycling Track
LANG Katharina,Germany,Wheelchair Basketball
LANGMANN Nico,Austria,Wheelchair Tennis
LANZA Angelina,France,Athletics
LANZER Grzegorz,Poland,Powerlifting
LAOWONG Anurak,Thailand,Table Tennis
LAPTHORNE Andy,Great Britain,Wheelchair Tennis
LARBI Abdelhalim,Algeria,Goalball
LARPYEN Pornchok,Thailand,Boccia
LARRY Brenda Anellia,Malaysia,Swimming
LASHKARISANAMI Majid,Islamic Republic of Iran,Sitting Volleyball
LATCHOUMANAYA Helios,France,Judo
LATHAM Bill,Australia,Wheelchair Basketball
LATIKKA Antti,Finland,Swimming
LATRITSKAIA Mariia,RPC,Swimming
LAU Wai Yan Vivian,"Hong Kong, China",Boccia
LAURIA Matilde,Italy,Judo
LAVIGNE Christophe,France,Rowing
LAVOIE Fabien,Canada,Wheelchair Rugby
LAVRINOVICH Andrei,RPC,Sitting Volleyball
LAVROV Dmitrii,RPC,Table Tennis
LAWLOR Louis,Great Britain,Swimming
le BARREAU Robin,France,Rowing
le CUNFF Kevin,France,Cycling Road
le CUNFF Kevin,France,Cycling Track
le FUR Marie-Amelie,France,Athletics
le GUEN Corentin,France,Wheelchair Rugby
le van Cong,Vietnam,Powerlifting
LEANI RATRI Oktila,Indonesia,Badminton
LEAUTE Alexandre,France,Cycling Road
LEAUTE Alexandre,France,Cycling Track
LEBIEDIEVA Iana,Ukraine,Athletics
LEBOG Judith Mariette,Cameroon,Athletics
LEBRUN Tatyana,Belgium,Swimming
LEDESMA Agustin,Argentina,Wheelchair Tennis
LEE Byoung Jai,Republic of Korea,Wheelchair Basketball
LEE Chi Won,Republic of Korea,Wheelchair Basketball
LEE Doyeon,Republic of Korea,Cycling Road
LEE Dong Seop,Republic of Korea,Badminton
LEE Gyeonghwa,Republic of Korea,Cycling Road
LEE Hyunjung,Republic of Korea,Powerlifting
LEE Inkook,Republic of Korea,Swimming
LEE Jangho,Republic of Korea,Shooting
LEE Jiseok,Republic of Korea,Shooting
LEE Jordan,Ireland,Athletics
LEE Juyoung,Republic of Korea,Swimming
LEE Jung Min,Republic of Korea,Judo
LEE Kunwoo,Republic of Korea,Table Tennis
LEE Kai Lin,Chinese Taipei,Judo
LEE Mi Gyu,Republic of Korea,Table Tennis
LEE Sun Ae,Republic of Korea,Badminton
LEE Sam Seop,Republic of Korea,Badminton
LEE Yongjin,Republic of Korea,Boccia
LEE Yoojeong,Republic of Korea,Shooting
LEE Youngsun,Republic of Korea,Powerlifting
LEE Younjoo,Republic of Korea,Wheelchair Basketball
LEE Yunri,Republic of Korea,Shooting
LEEP Jose,Colombia,Wheelchair Basketball
LEES Jason,Australia,Wheelchair Rugby
LEESON Jamieson,Australia,Boccia
LEFEVOUR Kelsey,United States of America,Athletics
LEFEVRE Joyce,Belgium,Athletics
LEFONO Tainafi,New Zealand,Wheelchair Rugby
LEGNANTE Assunta,Italy,Athletics
LEGNER Martin,Austria,Wheelchair Tennis
LEGOSTAEV Aleksandr,RPC,Boccia
LEI Li Na,Australia,Table Tennis
LEI Tianjiao,People's Republic of China,Wheelchair Basketball
LEIBOVITZ Tahl,United States of America,Table Tennis
LEIRIA de CASTRO Camila,Brazil,Sitting Volleyball
LEIVA AVILA Isaac,Guatemala,Athletics
LEKHARA Avani,India,Shooting
LELOU Daniel,France,Archery
LEMON Meg,Australia,Cycling Road
LEMON Meg,Australia,Cycling Track
LEMOS RIVAS Jose Gregorio,Colombia,Athletics
LEMOUSSU Gwladys,France,Triathlon
LEMTAKHEM Halima,Morocco,Powerlifting
LEMUS ROJAS Leider Albeiro,Colombia,Swimming
LENCINA Dario,Argentina,Football 5-a-side
LENSKII Viacheslav,RPC,Swimming
LEONARD Kerrie-Louise,Ireland,Archery
LEONELLI Tamara,Chile,Table Tennis
LEONHARDT Paige,Australia,Swimming
LEONOV Aleksei,RPC,Archery
LEPIATO Maciej,Poland,Athletics
LEROUX James,Canada,Swimming
LESPERANCE Matt,United States of America,Wheelchair Basketball
LETOURNEAU Anthony,Canada,Wheelchair Rugby
LETTENBERGER Ahalya,United States of America,Swimming
LEUNG Yuk Wing,"Hong Kong, China",Boccia
LEUNGVILAI Wannipa,Thailand,Shooting
LEVA Nelly Ruth,Papua New Guinea,Athletics
LEVAY Petra,Hungary,Triathlon
LEVECQ David,Spain,Swimming
LEVI Nadav,Israel,Boccia
LEVINE Alison,Canada,Boccia
LEVY Matthew,Australia,Swimming
LEWIS Jessica Cooper,Bermuda,Athletics
LI Chaoyan,People's Republic of China,Athletics
LI Guizhi,People's Republic of China,Swimming
LI Hao,People's Republic of China,Wheelchair Fencing
LI Ji,People's Republic of China,Archery
LI Junsheng,People's Republic of China,Swimming
LI Lei,People's Republic of China,Sitting Volleyball
LI Liqing,People's Republic of China,Judo
LI Lu,People's Republic of China,Athletics
LI Min,People's Republic of China,Shooting
LI Qian,People's Republic of China,Table Tennis
LI Xinru,People's Republic of China,Archery
LI Yingli,People's Republic of China,Athletics
LI Yujie,People's Republic of China,Taekwondo
LI Zhangyu,People's Republic of China,Cycling Road
LI Zhangyu,People's Republic of China,Cycling Track
LIAGKOU Anthi,Greece,Athletics
LIAKHU Iryna,Ukraine,Shooting
LIAN Hao,People's Republic of China,Table Tennis
LIANG Guihua,People's Republic of China,Cycling Road
LIANG Guihua,People's Republic of China,Cycling Track
LIANG Yanfen,People's Republic of China,Athletics
LIANG Zhongzhi,People's Republic of China,Football 5-a-side
LIAO Keli,People's Republic of China,Table Tennis
LIGNOS Gerasimos,Greece,Swimming
LIKSOR Robin,Estonia,Swimming
LIMA de SOUZA Ruan Felipe,Brazil,Swimming
LIN Suiling,People's Republic of China,Wheelchair Basketball
LIN Tzu Yu,Chinese Taipei,Table Tennis
LIN Ximei,People's Republic of China,Boccia
LIN Ya-Hsuan,Chinese Taipei,Powerlifting
LIN Yueshan,People's Republic of China,Archery
LINDBERG Pernilla,Sweden,Swimming
LINDHOLM Maya,Germany,Wheelchair Basketball
LINS NOBRE Cicero Valdiran,Brazil,Athletics
LIOT Kevin,France,Shooting
LIPATNIKOVA Galina,RPC,Athletics
LIS Rafal,Poland,Table Tennis
LITTLE Rosemary,Australia,Athletics
LITTLEHALES Dylan,Australia,Canoe Sprint
LIU Benying,People's Republic of China,Swimming
LIU Cuiqing,People's Republic of China,Athletics
LIU Daomin,People's Republic of China,Swimming
LIU Fengqi,People's Republic of China,Swimming
LIU Jing,People's Republic of China,Archery
LIU Jing,People's Republic of China,Table Tennis
LIU Lei,People's Republic of China,Powerlifting
LIU Li,People's Republic of China,Athletics
LIU Meng,People's Republic of China,Football 5-a-side
LIU Shuang,People's Republic of China,Rowing
LIU Wing Tung,"Hong Kong, China",Boccia
LIU Yang,People's Republic of China,Athletics
LIU Yu,People's Republic of China,Swimming
LIU Yutong,People's Republic of China,Badminton
LIU Ya-Ting,Chinese Taipei,Athletics
LIVERANI Andrea,Italy,Shooting
LLANES Tara,Canada,Wheelchair Basketball
LLOPIS SANZ Inigo,Spain,Swimming
LLOVERAS Alexandre,France,Cycling Road
LLOVERAS Alexandre,France,Cycling Track
LONG Jessica,United States of America,Swimming
LONGHORNE Lyndon,Great Britain,Swimming
Elliott Andre Alexander LOONSTRA,Aruba,Taekwondo
LOPEZ ALFONSO Damian,Cuba,Cycling Road
LOPEZ ALFONSO Damian,Cuba,Cycling Track
LOPEZ CHAVEZ Isabel,Spain,Wheelchair Basketball
LOPEZ CUENCA Ivan,Spain,Football 5-a-side
LOPEZ DIAZ Diego,Mexico,Swimming
LOPEZ FERNANDEZ Patricio Tse Anibal,Dominican Republic,Swimming
LOPEZ GONZALEZ Kim,Spain,Athletics
LOPEZ Rodrigo Fernando,Argentina,Cycling Road
LOPEZ Rodrigo Fernando,Argentina,Cycling Track
LOPEZ SAYAGO Francisco,Spain,Table Tennis
LOPEZ VALDES Luz Kerena,Mexico,Swimming
LOQUETTE Meril,France,Badminton
LORENZO DIAZ Manuel,Spain,Wheelchair Basketball
LOU Xiaolong,People's Republic of China,Shooting
